"ulb","receiptdate","receiptnumber","createdtime","amountpaid","paymentmode","feetype"
"Cuttack","2021-02-05","02/2020-21/000049","2021-02-05",1806.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-02-05","02/2020-21/000050","2021-02-05",120372.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-02-05","02/2020-21/000051","2021-02-05",2286382.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-02-05","02/2020-21/000052","2021-02-05",120372.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-02-05","02/2020-21/000053","2021-02-05",2286382.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-02-05","02/2020-21/000054","2021-02-05",4386.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-02-05","02/2020-21/000055","2021-02-05",35548.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-02-05","02/2020-21/000056","2021-02-05",1806.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-02-05","02/2020-21/000057","2021-02-05",35548.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-02-07","02/2020-21/000058","2021-02-07",1806.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-02-08","02/2020-21/000059","2021-02-08",4386.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-02-08","02/2020-21/000060","2021-02-08",35548.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-02-08","02/2020-21/000061","2021-02-08",120372.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-02-08","02/2020-21/000062","2021-02-08",1806.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-02-08","02/2020-21/000063","2021-02-08",120372.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-02-08","02/2020-21/000064","2021-02-08",2286382.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-02-09","02/2020-21/000065","2021-02-09",1806.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-02-09","02/2020-21/000066","2021-02-09",35548.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-02-10","02/2020-21/000067","2021-02-10",1.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-02-12","02/2020-21/000068","2021-02-12",1.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-02-12","02/2020-21/000069","2021-02-12",1.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-02-12","02/2020-21/000070","2021-02-12",1.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-02-12","02/2020-21/000071","2021-02-12",1.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-02-12","02/2020-21/000072","2021-02-12",3580.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-02-12","02/2020-21/000073","2021-02-12",56104.00,"ONLINE","BPA Sanction Fee"
"Sambalpur","2021-07-16","07/2021-22/000074","2021-07-16",2930.00,"ONLINE","BPA Application Fee"
"Sambalpur","2021-08-30","08/2021-22/000075","2021-08-30",6179.00,"ONLINE","BPA Application Fee"
"Sambalpur","2021-09-03","09/2021-22/000076","2021-09-03",2523.00,"ONLINE","BPA Application Fee"
"Sambalpur","2021-09-07","09/2021-22/000079","2021-09-07",35161.00,"ONLINE","BPA Sanction Fee"
"Rourkela","2021-09-13","09/2021-22/000082","2021-09-13",337.00,"ONLINE","BPA Application Fee"
"Rourkela","2021-09-13","09/2021-22/000083","2021-09-13",250.00,"ONLINE","BPA Application Fee"
"Rourkela","2021-09-18","09/2021-22/000088","2021-09-18",2789.00,"ONLINE","BPA Sanction Fee"
"Rourkela","2021-09-18","09/2021-22/000089","2021-09-18",23507.00,"ONLINE","BPA Sanction Fee"
"Sambalpur","2021-09-21","09/2021-22/000097","2021-09-21",67832.00,"ONLINE","BPA Sanction Fee"
"Rourkela","2021-10-06","10/2021-22/000174","2021-10-06",250.00,"ONLINE","BPA Application Fee"
"Berhampur","2021-11-15","11/2021-22/001343","2021-11-15",1790.00,"ONLINE","BPA Application Fee"
"Sambalpur","2021-11-16","11/2021-22/001374","2021-11-16",1306.00,"ONLINE","BPA Application Fee"
"Rourkela","2021-11-16","11/2021-22/001392","2021-11-16",16242.00,"ONLINE","BPA Application Fee"
"Berhampur","2021-11-16","11/2021-22/001400","2021-11-16",1680.00,"ONLINE","BPA Application Fee"
"Rourkela","2021-11-17","11/2021-22/001453","2021-11-17",2795.00,"ONLINE","BPA Application Fee"
"Sambalpur","2021-11-17","11/2021-22/001490","2021-11-17",5666.00,"ONLINE","BPA Application Fee"
"Berhampur","2021-11-19","11/2021-22/001591","2021-11-19",1790.00,"ONLINE","BPA Application Fee"
"Berhampur","2021-11-20","11/2021-22/001649","2021-11-20",627.00,"ONLINE","BPA Application Fee"
"Berhampur","2021-11-20","11/2021-22/001653","2021-11-20",1385.00,"ONLINE","BPA Application Fee"
"Berhampur","2021-11-20","11/2021-22/001679","2021-11-20",250.00,"ONLINE","BPA Application Fee"
"Sambalpur","2021-11-22","11/2021-22/001727","2021-11-22",1414.00,"ONLINE","BPA Application Fee"
"Rourkela","2021-11-23","11/2021-22/001874","2021-11-23",3419.00,"ONLINE","BPA Application Fee"
"Rourkela","2021-11-24","11/2021-22/002129","2021-11-24",3913.00,"ONLINE","BPA Application Fee"
"Rourkela","2021-11-24","11/2021-22/002131","2021-11-24",1532.00,"ONLINE","BPA Application Fee"
"Rourkela","2021-11-24","11/2021-22/002133","2021-11-24",250.00,"ONLINE","BPA Application Fee"
"Rourkela","2021-11-24","11/2021-22/002135","2021-11-24",250.00,"ONLINE","BPA Application Fee"
"Rourkela","2021-11-24","11/2021-22/002136","2021-11-24",320.00,"ONLINE","BPA Application Fee"
"Rourkela","2021-11-24","11/2021-22/002138","2021-11-24",250.00,"ONLINE","BPA Application Fee"
"Rourkela","2021-11-24","11/2021-22/002139","2021-11-24",17597.00,"ONLINE","BPA Sanction Fee"
"Rourkela","2021-11-25","11/2021-22/002260","2021-11-25",4271.00,"ONLINE","BPA Application Fee"
"Rourkela","2021-11-26","11/2021-22/002378","2021-11-26",19959.00,"ONLINE","BPA Application Fee"
"Berhampur","2021-11-27","11/2021-22/002393","2021-11-27",37715.00,"ONLINE","BPA Sanction Fee"
"Rourkela","2021-11-29","11/2021-22/002541","2021-11-29",3463.00,"ONLINE","BPA Application Fee"
"Sambalpur","2021-12-02","12/2021-22/002934","2021-12-02",22951.00,"ONLINE","BPA Sanction Fee"
"Rourkela","2021-12-02","12/2021-22/003035","2021-12-02",250.00,"ONLINE","BPA Application Fee"
"Rourkela","2021-12-03","12/2021-22/003159","2021-12-03",67327.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-12-04","12/2021-22/003184","2021-12-04",2223.00,"ONLINE","BPA Application Fee"
"Rourkela","2021-12-04","12/2021-22/003258","2021-12-04",66436.00,"ONLINE","BPA Sanction Fee"
"Berhampur","2021-12-07","12/2021-22/003743","2021-12-07",18999.00,"ONLINE","BPA Sanction Fee"
"Rourkela","2021-12-10","12/2021-22/004154","2021-12-10",39707.00,"ONLINE","BPA Sanction Fee"
"Sambalpur","2021-12-11","12/2021-22/004394","2021-12-11",1369.00,"ONLINE","BPA Application Fee"
"Berhampur","2021-12-11","12/2021-22/004396","2021-12-11",2926.00,"ONLINE","BPA Application Fee"
"Sambalpur","2021-12-13","12/2021-22/004724","2021-12-13",78106.00,"ONLINE","BPA Sanction Fee"
"Sambalpur","2021-12-14","12/2021-22/004752","2021-12-14",2529.00,"ONLINE","BPA Application Fee"
"Sambalpur","2021-12-14","12/2021-22/004765","2021-12-14",23934.00,"ONLINE","BPA Sanction Fee"
"Rourkela","2021-12-14","12/2021-22/004798","2021-12-14",23278.00,"ONLINE","BPA Sanction Fee"
"Rourkela","2021-12-14","12/2021-22/004976","2021-12-14",2898.00,"ONLINE","BPA Application Fee"
"Rourkela","2021-12-14","12/2021-22/004977","2021-12-14",3439.00,"ONLINE","BPA Application Fee"
"Rourkela","2021-12-15","12/2021-22/005245","2021-12-15",22142.00,"ONLINE","BPA Sanction Fee"
"Rourkela","2021-12-15","12/2021-22/005275","2021-12-15",1387.00,"ONLINE","BPA Application Fee"
"Rourkela","2021-12-15","12/2021-22/005277","2021-12-15",15429.00,"ONLINE","BPA Sanction Fee"
"Rourkela","2021-12-16","12/2021-22/005397","2021-12-16",1895.00,"ONLINE","BPA Application Fee"
"Rourkela","2021-12-16","12/2021-22/005585","2021-12-16",1455.00,"ONLINE","BPA Application Fee"
"Rourkela","2021-12-16","12/2021-22/005593","2021-12-16",3486.00,"ONLINE","BPA Application Fee"
"Berhampur","2021-12-18","12/2021-22/006073","2021-12-18",43206.00,"ONLINE","BPA Sanction Fee"
"Rourkela","2021-12-21","12/2021-22/006422","2021-12-21",250.00,"ONLINE","BPA Application Fee"
"Rourkela","2021-12-21","12/2021-22/006423","2021-12-21",18871.00,"ONLINE","BPA Sanction Fee"
"Rourkela","2021-12-21","12/2021-22/006687","2021-12-21",18793.00,"ONLINE","BPA Sanction Fee"
"Rourkela","2021-12-21","12/2021-22/006713","2021-12-21",1931.00,"ONLINE","BPA Application Fee"
"Rourkela","2021-12-28","12/2021-22/007569","2021-12-28",56836.00,"ONLINE","BPA Sanction Fee"
"Rourkela","2021-12-28","12/2021-22/007611","2021-12-28",37747.00,"ONLINE","BPA Sanction Fee"
"Rourkela","2021-12-31","12/2021-22/008309","2021-12-31",250.00,"ONLINE","BPA Application Fee"
"Berhampur","2022-01-02","01/2021-22/008737","2022-01-02",3929.00,"ONLINE","BPA Application Fee"
"Cuttack","2022-01-02","01/2021-22/008792","2022-01-02",3528.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-01-04","01/2021-22/009708","2022-01-04",16185.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-01-06","01/2021-22/009895","2022-01-06",3486.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-01-06","01/2021-22/010067","2022-01-06",58229.00,"ONLINE","BPA Sanction Fee"
"Rourkela","2022-01-08","01/2021-22/010582","2022-01-08",66871.00,"ONLINE","BPA Sanction Fee"
"Berhampur","2022-01-08","01/2021-22/010695","2022-01-08",6633.00,"ONLINE","BPA Application Fee"
"Berhampur","2022-01-08","01/2021-22/010696","2022-01-08",6633.00,"ONLINE","BPA Application Fee"
"Berhampur","2022-01-08","01/2021-22/010697","2022-01-08",2340.00,"ONLINE","BPA Application Fee"
"Berhampur","2022-01-08","01/2021-22/010700","2022-01-08",3442.00,"ONLINE","BPA Application Fee"
"Berhampur","2022-01-08","01/2021-22/010702","2022-01-08",2184.00,"ONLINE","BPA Application Fee"
"Berhampur","2022-01-08","01/2021-22/010703","2022-01-08",7337.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-01-09","01/2021-22/010739","2022-01-09",2357.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-01-09","01/2021-22/010742","2022-01-09",250.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-01-11","01/2021-22/011476","2022-01-11",76490.00,"ONLINE","BPA Sanction Fee"
"Berhampur","2022-01-14","01/2021-22/012348","2022-01-14",848.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-01-15","01/2021-22/012810","2022-01-15",3543.00,"ONLINE","BPA Application Fee"
"Sambalpur","2022-01-18","01/2021-22/015369","2022-01-18",3300.00,"ONLINE","BPA Application Fee"
"Sambalpur","2022-01-18","01/2021-22/015961","2022-01-18",2095.00,"ONLINE","BPA Application Fee"
"Sambalpur","2022-01-19","01/2021-22/016923","2022-01-19",7001.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-01-20","01/2021-22/018095","2022-01-20",38666.00,"ONLINE","BPA Sanction Fee"
"Bhubaneswar","2022-01-20","01/2021-22/018067","2022-01-20",731.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-01-21","01/2021-22/019707","2022-01-21",2233.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-01-21","01/2021-22/019720","2022-01-21",4050.00,"ONLINE","BPA Application Fee"
"Berhampur","2022-01-21","01/2021-22/019724","2022-01-21",1712.00,"ONLINE","BPA Application Fee"
"Berhampurdevelopmentauthority","2022-01-22","01/2021-22/020431","2022-01-22",3324.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-01-22","01/2021-22/020542","2022-01-22",3727.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-01-22","01/2021-22/020587","2022-01-22",2009.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-01-22","01/2021-22/020618","2022-01-22",1368.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-01-24","01/2021-22/022725","2022-01-24",838.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-01-24","01/2021-22/022733","2022-01-24",6313.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-01-24","01/2021-22/022927","2022-01-24",4995.00,"ONLINE","BPA Application Fee"
"Bhubaneswardevelopmentauthority","2022-01-24","01/2021-22/023049","2022-01-24",3952.00,"ONLINE","BPA Application Fee"
"Udala","2022-01-25","01/2021-22/024649","2022-01-25",1957.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-01-26","01/2021-22/025046","2022-01-26",4684.00,"ONLINE","BPA Application Fee"
"Bhubaneswardevelopmentauthority","2022-01-26","01/2021-22/025076","2022-01-26",2855.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-01-27","01/2021-22/025598","2022-01-27",20373.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-01-27","01/2021-22/026713","2022-01-27",15985.00,"ONLINE","BPA Sanction Fee"
"Bhubaneswar","2022-01-28","01/2021-22/027363","2022-01-28",10588.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-01-28","01/2021-22/028207","2022-01-28",1204.00,"ONLINE","BPA Application Fee"
"Sambalpur","2022-01-28","01/2021-22/028209","2022-01-28",2031.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-01-29","01/2021-22/028428","2022-01-29",25760.00,"ONLINE","BPA Application Fee"
"Bhubaneswardevelopmentauthority","2022-01-29","01/2021-22/028975","2022-01-29",2938.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-01-29","01/2021-22/029363","2022-01-29",2409.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-01-29","01/2021-22/029365","2022-01-29",2947.00,"ONLINE","BPA Application Fee"
"Bhubaneswardevelopmentauthority","2022-01-29","01/2021-22/029367","2022-01-29",3527.00,"ONLINE","BPA Application Fee"
"Berhampur","2022-01-29","01/2021-22/029455","2022-01-29",48548.00,"ONLINE","BPA Sanction Fee"
"Bhubaneswar","2022-01-30","01/2021-22/029843","2022-01-30",5066.00,"ONLINE","BPA Application Fee"
"Sambalpur","2022-01-31","01/2021-22/030532","2022-01-31",3655.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-01-31","01/2021-22/030732","2022-01-31",4996.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-01-31","01/2021-22/030850","2022-01-31",6975.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-02-01","02/2021-22/031035","2022-02-01",72698.00,"ONLINE","BPA Sanction Fee"
"Bhubaneswar","2022-02-01","02/2021-22/031053","2022-02-01",4201.00,"ONLINE","BPA Application Fee"
"Bhubaneswardevelopmentauthority","2022-02-01","02/2021-22/031383","2022-02-01",2390.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-01","02/2021-22/031562","2022-02-01",4459.00,"ONLINE","BPA Application Fee"
"Berhampur","2022-02-01","02/2021-22/031926","2022-02-01",66914.00,"ONLINE","BPA Sanction Fee"
"Bhubaneswar","2022-02-01","02/2021-22/031962","2022-02-01",13393.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-02-02","02/2021-22/032195","2022-02-02",67801.00,"ONLINE","BPA Sanction Fee"
"Rourkela","2022-02-02","02/2021-22/032624","2022-02-02",6741.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-02-02","02/2021-22/032572","2022-02-02",6078.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-02-02","02/2021-22/032715","2022-02-02",3493.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-02","02/2021-22/032936","2022-02-02",16332.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-02-02","02/2021-22/032973","2022-02-02",44637.00,"ONLINE","BPA Sanction Fee"
"Rourkela","2022-02-02","02/2021-22/033077","2022-02-02",6067.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-02-02","02/2021-22/033170","2022-02-02",10497.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-02-02","02/2021-22/033309","2022-02-02",2524.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-02-02","02/2021-22/033313","2022-02-02",16709.00,"ONLINE","BPA Sanction Fee"
"Bhubaneswar","2022-02-03","02/2021-22/034758","2022-02-03",8229.00,"ONLINE","BPA Application Fee"
"Berhampur","2022-02-03","02/2021-22/034764","2022-02-03",113168.00,"ONLINE","BPA Sanction Fee"
"Bhubaneswar","2022-02-04","02/2021-22/035299","2022-02-04",3876.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-04","02/2021-22/035312","2022-02-04",3116.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-04","02/2021-22/035336","2022-02-04",1539.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-04","02/2021-22/035426","2022-02-04",4077.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-04","02/2021-22/036275","2022-02-04",5291.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-05","02/2021-22/037032","2022-02-05",1838.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-06","02/2021-22/037854","2022-02-06",6393.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-07","02/2021-22/039023","2022-02-07",6646.00,"ONLINE","BPA Application Fee"
"Berhampur","2022-02-07","02/2021-22/039011","2022-02-07",27448.00,"ONLINE","BPA Sanction Fee"
"Bhubaneswar","2022-02-07","02/2021-22/039484","2022-02-07",6679.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-07","02/2021-22/039873","2022-02-07",5548.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-07","02/2021-22/039944","2022-02-07",15480.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-02-07","02/2021-22/039949","2022-02-07",30308.00,"ONLINE","BPA Sanction Fee"
"Bhubaneswardevelopmentauthority","2022-02-08","02/2021-22/040901","2022-02-08",6044.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-02-08","02/2021-22/041059","2022-02-08",250.00,"ONLINE","BPA Application Fee"
"Bhubaneswardevelopmentauthority","2022-02-08","02/2021-22/041913","2022-02-08",961.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-08","02/2021-22/042108","2022-02-08",10476.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-08","02/2021-22/042370","2022-02-08",2233.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-08","02/2021-22/042371","2022-02-08",1658.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-08","02/2021-22/042410","2022-02-08",5724.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-08","02/2021-22/042512","2022-02-08",1098.00,"ONLINE","BPA Application Fee"
"Sambalpur","2022-02-08","02/2021-22/042566","2022-02-08",4003.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-02-09","02/2021-22/043084","2022-02-09",50892.00,"ONLINE","BPA Sanction Fee"
"Rourkela","2022-02-09","02/2021-22/043364","2022-02-09",45123.00,"ONLINE","BPA Sanction Fee"
"Bhubaneswar","2022-02-09","02/2021-22/043612","2022-02-09",5959.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-09","02/2021-22/043749","2022-02-09",9216.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-09","02/2021-22/044659","2022-02-09",5877.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-09","02/2021-22/044714","2022-02-09",250.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-02-10","02/2021-22/045027","2022-02-10",5021.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-10","02/2021-22/045833","2022-02-10",5158.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-02-10","02/2021-22/046022","2022-02-10",133998.00,"ONLINE","BPA Sanction Fee"
"Bhubaneswar","2022-02-10","02/2021-22/046403","2022-02-10",2852.00,"ONLINE","BPA Application Fee"
"Sambalpur","2022-02-11","02/2021-22/047001","2022-02-11",1510.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-11","02/2021-22/047140","2022-02-11",2582.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-11","02/2021-22/047249","2022-02-11",5181.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-11","02/2021-22/047859","2022-02-11",2953.00,"ONLINE","BPA Application Fee"
"Bhubaneswardevelopmentauthority","2022-02-11","02/2021-22/047893","2022-02-11",4237.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-11","02/2021-22/048383","2022-02-11",4684.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-11","02/2021-22/048469","2022-02-11",61584.00,"ONLINE","BPA Application Fee"
"Bhubaneswardevelopmentauthority","2022-02-11","02/2021-22/048595","2022-02-11",2861.00,"ONLINE","BPA Application Fee"
"Berhampur","2022-02-11","02/2021-22/048766","2022-02-11",4182.00,"ONLINE","BPA Application Fee"
"Berhampurdevelopmentauthority","2022-02-11","02/2021-22/048866","2022-02-11",2998.00,"ONLINE","BPA Application Fee"
"Berhampur","2022-02-11","02/2021-22/048878","2022-02-11",3147.00,"ONLINE","BPA Application Fee"
"Rourkela","2022-02-12","02/2021-22/049389","2022-02-12",2947.00,"ONLINE","BPA Application Fee"
"Sambalpur","2022-02-12","02/2021-22/049664","2022-02-12",47980.00,"ONLINE","BPA Sanction Fee"
"Bhubaneswardevelopmentauthority","2022-02-12","02/2021-22/049911","2022-02-12",3595.00,"ONLINE","BPA Application Fee"
"Berhampur","2022-02-12","02/2021-22/050365","2022-02-12",916.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-12","02/2021-22/050341","2022-02-12",1577.00,"ONLINE","BPA Application Fee"
"Bhubaneswar","2022-02-12","02/2021-22/050442","2022-02-12",1250.00,"ONLINE","BPA Application Fee"
"Berhampurdevelopmentauthority","2022-02-12","02/2021-22/050456","2022-02-12",2009.00,"ONLINE","BPA Application Fee"
